Geography,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
North Carolina,8840358.699999988,8941759.333333313,9043159.966666669,9144560.599999994,9245961.23333332,9347361.866666645,9448762.5,9574293,9656754,9749123,9843599,9933944,10033079,10156679,10270800,10383620
North Dakota,600592.305555556,612093.7222222239,623595.1388888881,635096.555555556,646597.9722222239,658099.3888888881,669600.805555556,674710,685136,701116,721999,737382,754022,754353,755176,760077
Ohio,11386120.22222222,11405736.888888884,11425353.555555556,11444970.22222222,11464586.888888884,11484203.555555556,11503820.22222222,11539327,11543463,11548369,11576576,11602973,11617850,11635003,11664129,11689442
Oklahoma,3603549.9055555537,3627570.0555555522,3651590.2055555508,3675610.3555555567,3699630.505555555,3723650.6555555537,3747670.8055555522,3759632,3787821,3818600,3853205,3878367,3909831,3926769,3932640,3943079
Oregon,3495531.922222227,3540796.8888888955,3586061.855555564,3631326.822222233,3676591.7888888866,3721856.755555555,3767121.722222224,3837532,3871728,3899118,3922908,3964106,4016918,4091404,4146592,4190713
Pennsylvania,12669432.222222222,12678828.222222222,12688224.222222222,12697620.222222222,12707016.222222222,12716412.222222222,12725808.222222222,12711158,12744583,12766827,12776621,12789101,12785759,12783538,12790447,12807060
Rhode Island,1050389.0611111112,1050861.277777778,1051333.4944444445,1051805.711111111,1052277.927777778,1052750.1444444447,1053222.3611111112,1053938,1053536,1054601,1055122,1056017,1056173,1057063,1056486,1057315
South Carolina,4207721.705555558,4265282.055555552,4322842.405555561,4380402.755555555,4437963.105555564,4495523.455555558,4553083.805555552,4635656,4671422,4717112,4764153,4823793,4892253,4958235,5021219,5084127
South Dakota,759780.1055555567,767849.055555556,775918.0055555571,783986.9555555563,792055.9055555575,800124.8555555567,808193.805555556,816165,823484,833496,842270,849088,853933,862890,873286,882235
Tennessee,5986051.48888889,6037348.555555552,6088645.622222215,6139942.6888888925,6191239.755555555,6242536.822222218,6293833.8888888955,6355301,6397410,6451281,6493432,6540826,6590808,6645011,6708794,6770010
Texas,22119030.422222257,22561684.22222221,23004338.02222228,23446991.822222233,23889645.622222304,24332299.422222257,24774953.22222221,25242679,25646227,26089620,26489464,26977142,27486814,27937492,28322717,28701845
Utah,2425311.1333333403,2473188.6666666716,2521066.200000003,2568943.7333333343,2616821.2666666806,2664698.800000012,2712576.3333333433,2775334,2814216,2853467,2897927,2937399,2982497,3042613,3103118,3161105
Vermont,627672.9277777779,627480.6111111112,627288.2944444445,627095.9777777778,626903.6611111112,626711.3444444445,626519.0277777778,625880,626979,626063,626212,625218,625197,623644,624525,626299
Virginia,7626582.299999997,7687107.666666657,7747633.033333331,7808158.399999991,7868683.766666666,7929209.133333325,7989734.5,8023680,8100469,8185229,8253053,8312076,8362907,8410946,8465207,8517685
Washington,6001619.577777803,6101391.777777791,6201163.977777809,6300936.177777797,6400708.377777815,6500480.577777803,6600252.777777791,6742902,6821655,6892876,6962906,7052439,7163543,7294680,7425432,7535591
West Virginia,1909283.2722222228,1903047.38888889,1896811.5055555552,1890575.6222222224,1884339.7388888896,1878103.8555555567,1871867.972222222,1854214,1856074,1856764,1853873,1849467,1841996,1830929,1817048,1805832
Wisconsin,5587100.711111113,5601849.111111112,5616597.511111114,5631345.911111113,5646094.311111115,5660842.711111113,5675591.111111112,5690479,5704755,5719855,5736952,5751974,5761406,5772958,5792051,5813568
Wyoming,557946.7611111114,559742.277777778,561537.7944444446,563333.3111111112,565128.8277777778,566924.3444444449,568719.8611111115,564483,567224,576270,582123,582548,585668,584290,578934,577737
Puerto Rico,4193084.9666666687,4130708.6666666716,4068332.3666666746,4005956.0666666627,3943579.7666666657,3881203.4666666687,3818827.1666666716,3721525,3678732,3634488,3593077,3534874,3473166,3406495,3325001,3195153
