,County,Year,State,MME,Deaths
118,CRAWFORD,2012,IL,5225.942345212569,
119,CUMBERLAND,2006,IL,910.1982000000014,
120,CUMBERLAND,2007,IL,967.5885000000027,
121,CUMBERLAND,2008,IL,1017.6532125000039,
122,CUMBERLAND,2009,IL,872.9382750000033,
123,CUMBERLAND,2010,IL,902.6934750000037,
124,CUMBERLAND,2011,IL,1065.303405000004,
125,CUMBERLAND,2012,IL,1183.4208150000027,
126,DEKALB,2006,IL,9739.672837500199,
127,DEKALB,2007,IL,10023.830994000178,
128,DEKALB,2008,IL,10329.371575500223,
129,DEKALB,2009,IL,11688.708435450266,
130,DEKALB,2010,IL,13963.321698862901,
131,DEKALB,2011,IL,15256.22947136294,11.0
132,DEKALB,2012,IL,15530.411700000317,
133,DEWITT,2006,IL,1220.4552000000026,
134,DEWITT,2007,IL,1446.2842260000032,
135,DEWITT,2008,IL,1669.760659500003,
136,DEWITT,2009,IL,2030.3595375000064,
137,DEWITT,2010,IL,2444.6386500000017,
138,DEWITT,2011,IL,2880.7547625000093,
139,DEWITT,2012,IL,3123.9755625000143,
140,DOUGLAS,2006,IL,1422.5694300000064,
141,DOUGLAS,2007,IL,2012.6922728625095,
142,DOUGLAS,2008,IL,2171.988769500006,
143,DOUGLAS,2009,IL,2100.5885325000063,
144,DOUGLAS,2010,IL,2407.9346175000087,
145,DOUGLAS,2011,IL,3130.2674025000133,
146,DOUGLAS,2012,IL,3676.245795000019,
147,DUPAGE,2006,IL,102011.51327468267,70.0
148,DUPAGE,2007,IL,100642.23484870426,64.0
149,DUPAGE,2008,IL,109122.83874999177,81.0
150,DUPAGE,2009,IL,121914.92085703081,55.0
151,DUPAGE,2010,IL,147701.60800284904,74.0
152,DUPAGE,2011,IL,154663.55001073846,86.0
153,DUPAGE,2012,IL,161926.67029760932,108.0
154,EDGAR,2006,IL,2147.7623125000036,
155,EDGAR,2007,IL,2773.879529999993,
156,EDGAR,2008,IL,3024.1753664999983,
157,EDGAR,2009,IL,3043.8071288624983,
158,EDGAR,2010,IL,3355.044300000005,
159,EDGAR,2011,IL,4300.123687500002,
160,EDGAR,2012,IL,4654.322242500022,
161,EDWARDS,2006,IL,865.320922500002,
162,EDWARDS,2007,IL,1221.4620270000019,
163,EDWARDS,2008,IL,1299.9982455000031,
164,EDWARDS,2009,IL,1236.891622500003,
165,EDWARDS,2010,IL,1463.676375000004,
166,EDWARDS,2011,IL,1582.420410000004,
167,EDWARDS,2012,IL,1727.4879825000035,
168,EFFINGHAM,2006,IL,7429.6321059500615,
169,EFFINGHAM,2007,IL,8210.142589500101,
170,EFFINGHAM,2008,IL,8614.487018000134,
171,EFFINGHAM,2009,IL,10747.878822862642,
172,EFFINGHAM,2010,IL,11458.551926362767,
173,EFFINGHAM,2011,IL,12380.69011500029,
174,EFFINGHAM,2012,IL,13138.997865000169,
175,FAYETTE,2006,IL,2873.747124000002,
176,FAYETTE,2007,IL,2843.5107305000024,
177,FAYETTE,2008,IL,2871.756867000005,
178,FAYETTE,2009,IL,3279.8703300000066,
179,FAYETTE,2010,IL,3400.895587500008,
180,FAYETTE,2011,IL,3647.9817675000168,
181,FAYETTE,2012,IL,4129.6816950000275,
182,FORD,2006,IL,2042.1576915000041,
183,FORD,2007,IL,1675.2330855000062,
184,FORD,2008,IL,2058.7885950000054,
185,FORD,2009,IL,2615.6333475000074,
186,FORD,2010,IL,3132.7908075000073,
187,FORD,2011,IL,2645.727922500009,
188,FORD,2012,IL,3578.783550000002,
189,FRANKLIN,2006,IL,15279.605361000433,
190,FRANKLIN,2007,IL,16630.134060000502,
191,FRANKLIN,2008,IL,17031.490555812925,
192,FRANKLIN,2009,IL,17525.312880000438,
193,FRANKLIN,2010,IL,17436.202961588016,
194,FRANKLIN,2011,IL,19073.935875000578,
195,FRANKLIN,2012,IL,18556.628137500313,
196,FULTON,2006,IL,5852.448900450012,
197,FULTON,2007,IL,6018.150649087552,
198,FULTON,2008,IL,5859.3391187250445,
199,FULTON,2009,IL,6526.02379158756,
200,FULTON,2010,IL,6489.071345212598,
201,FULTON,2011,IL,7417.846589287606,
202,FULTON,2012,IL,7377.4343167875895,
203,GALLATIN,2006,IL,585.2006775,
204,GALLATIN,2007,IL,740.1530550000004,
205,GALLATIN,2008,IL,720.3855749999994,
206,GALLATIN,2009,IL,730.9028175000001,
207,GALLATIN,2010,IL,868.8823875000018,
208,GALLATIN,2011,IL,1056.2165775000012,
