,County,Year,State,QUANTITY,MME,Deaths
90,CARBON,2012,PA,21866.0,38472.18858750071,
91,CENTRE,2006,PA,18068.0,24015.641851951063,
92,CENTRE,2007,PA,17294.0,22402.193948451022,
93,CENTRE,2008,PA,18249.0,21784.119777451022,
94,CENTRE,2009,PA,21542.0,24793.547689988474,13.0
95,CENTRE,2010,PA,21521.0,25620.281854538614,
96,CENTRE,2011,PA,22777.0,26204.002150875876,
97,CENTRE,2012,PA,25358.0,29027.640125400947,11.0
98,CHESTER,2006,PA,57066.0,95742.34347501742,30.0
99,CHESTER,2007,PA,63848.0,108809.4098588811,40.0
100,CHESTER,2008,PA,71547.0,119724.55321352952,49.0
101,CHESTER,2009,PA,78579.0,134320.58857582998,49.0
102,CHESTER,2010,PA,88701.0,154287.28636811304,55.0
103,CHESTER,2011,PA,106675.0,163208.87056196237,64.0
104,CHESTER,2012,PA,102526.0,169160.54409082432,55.0
105,CLARION,2006,PA,5039.0,7246.457261850128,
106,CLARION,2007,PA,5253.0,7774.204903800114,
107,CLARION,2008,PA,5934.0,8709.514056300157,
108,CLARION,2009,PA,6326.0,8662.381262025161,
109,CLARION,2010,PA,6924.0,9084.020296575196,
110,CLARION,2011,PA,7807.0,10316.151197025265,
111,CLARION,2012,PA,8042.0,9985.00126680025,
112,CLEARFIELD,2006,PA,14527.0,21927.383741038477,
113,CLEARFIELD,2007,PA,14580.0,21098.30429897586,10.0
114,CLEARFIELD,2008,PA,16266.0,21394.61809511346,
115,CLEARFIELD,2009,PA,19298.0,27663.723466576317,
116,CLEARFIELD,2010,PA,20210.0,26822.658288376235,
117,CLEARFIELD,2011,PA,21555.0,28200.494776801163,
118,CLEARFIELD,2012,PA,22792.0,30261.636505425966,
119,CLINTON,2006,PA,7501.0,9940.107934725209,
120,CLINTON,2007,PA,8459.0,10081.393494937774,
121,CLINTON,2008,PA,8315.0,10042.709582025274,
122,CLINTON,2009,PA,8407.0,11151.859722712758,
123,CLINTON,2010,PA,9010.0,11993.951347950313,
124,CLINTON,2011,PA,10439.0,14033.942010900313,
125,CLINTON,2012,PA,11907.0,16562.50285792541,
126,COLUMBIA,2006,PA,9200.0,13060.930177762666,
127,COLUMBIA,2007,PA,11872.0,16915.767355162767,
128,COLUMBIA,2008,PA,13908.0,19306.64851980047,
129,COLUMBIA,2009,PA,13226.0,19554.819792487837,
130,COLUMBIA,2010,PA,15422.0,20665.974401812913,
131,COLUMBIA,2011,PA,17281.0,22085.163682725597,
132,COLUMBIA,2012,PA,18669.0,22377.325031363165,
