,County,Deaths,MME,State,Year,County Code,Population
89,ALACHUA,14,127727.613021565,FL,2012,12001,255499
90,ALACHUA,14,127727.613021565,FL,2012,12001,259177
91,BAKER,0,11900.178637500152,FL,2006,12003,152220
92,BAKER,0,11900.178637500152,FL,2006,12003,154518
93,BAKER,0,11900.178637500152,FL,2006,12003,156817
94,BAKER,0,11900.178637500152,FL,2006,12003,159115
95,BAKER,0,11900.178637500152,FL,2006,12003,161413
96,BAKER,0,11900.178637500152,FL,2006,12003,163711
97,BAKER,0,11900.178637500152,FL,2006,12003,166009
98,BAKER,0,11900.178637500152,FL,2006,12003,27062
99,BAKER,0,11900.178637500152,FL,2006,12003,27043
100,BAKER,0,11900.178637500152,FL,2006,12003,27047
101,BAKER,0,11900.178637500152,FL,2006,12003,27001
102,BAKER,0,11900.178637500152,FL,2006,12003,27118
103,BAKER,0,11900.178637500152,FL,2006,12003,27351
104,BAKER,0,13793.788183225111,FL,2007,12003,152220
105,BAKER,0,13793.788183225111,FL,2007,12003,154518
106,BAKER,0,13793.788183225111,FL,2007,12003,156817
107,BAKER,0,13793.788183225111,FL,2007,12003,159115
108,BAKER,0,13793.788183225111,FL,2007,12003,161413
109,BAKER,0,13793.788183225111,FL,2007,12003,163711
110,BAKER,0,13793.788183225111,FL,2007,12003,166009
111,BAKER,0,13793.788183225111,FL,2007,12003,27062
112,BAKER,0,13793.788183225111,FL,2007,12003,27043
113,BAKER,0,13793.788183225111,FL,2007,12003,27047
114,BAKER,0,13793.788183225111,FL,2007,12003,27001
115,BAKER,0,13793.788183225111,FL,2007,12003,27118
116,BAKER,0,13793.788183225111,FL,2007,12003,27351
117,BAKER,0,15651.322154225169,FL,2008,12003,152220
118,BAKER,0,15651.322154225169,FL,2008,12003,154518
119,BAKER,0,15651.322154225169,FL,2008,12003,156817
120,BAKER,0,15651.322154225169,FL,2008,12003,159115
121,BAKER,0,15651.322154225169,FL,2008,12003,161413
122,BAKER,0,15651.322154225169,FL,2008,12003,163711
123,BAKER,0,15651.322154225169,FL,2008,12003,166009
124,BAKER,0,15651.322154225169,FL,2008,12003,27062
125,BAKER,0,15651.322154225169,FL,2008,12003,27043
126,BAKER,0,15651.322154225169,FL,2008,12003,27047
127,BAKER,0,15651.322154225169,FL,2008,12003,27001
128,BAKER,0,15651.322154225169,FL,2008,12003,27118
129,BAKER,0,15651.322154225169,FL,2008,12003,27351
130,BAKER,0,19165.96729500018,FL,2009,12003,152220
131,BAKER,0,19165.96729500018,FL,2009,12003,154518
132,BAKER,0,19165.96729500018,FL,2009,12003,156817
133,BAKER,0,19165.96729500018,FL,2009,12003,159115
134,BAKER,0,19165.96729500018,FL,2009,12003,161413
135,BAKER,0,19165.96729500018,FL,2009,12003,163711
136,BAKER,0,19165.96729500018,FL,2009,12003,166009
137,BAKER,0,19165.96729500018,FL,2009,12003,27062
138,BAKER,0,19165.96729500018,FL,2009,12003,27043
139,BAKER,0,19165.96729500018,FL,2009,12003,27047
140,BAKER,0,19165.96729500018,FL,2009,12003,27001
141,BAKER,0,19165.96729500018,FL,2009,12003,27118
142,BAKER,0,19165.96729500018,FL,2009,12003,27351
143,BAKER,0,29821.45321500012,FL,2010,12003,152220
144,BAKER,0,29821.45321500012,FL,2010,12003,154518
145,BAKER,0,29821.45321500012,FL,2010,12003,156817
146,BAKER,0,29821.45321500012,FL,2010,12003,159115
147,BAKER,0,29821.45321500012,FL,2010,12003,161413
148,BAKER,0,29821.45321500012,FL,2010,12003,163711
149,BAKER,0,29821.45321500012,FL,2010,12003,166009
150,BAKER,0,29821.45321500012,FL,2010,12003,27062
151,BAKER,0,29821.45321500012,FL,2010,12003,27043
152,BAKER,0,29821.45321500012,FL,2010,12003,27047
153,BAKER,0,29821.45321500012,FL,2010,12003,27001
154,BAKER,0,29821.45321500012,FL,2010,12003,27118
155,BAKER,0,29821.45321500012,FL,2010,12003,27351
156,BAKER,0,32777.553120000026,FL,2011,12003,152220
157,BAKER,0,32777.553120000026,FL,2011,12003,154518
158,BAKER,0,32777.553120000026,FL,2011,12003,156817
159,BAKER,0,32777.553120000026,FL,2011,12003,159115
160,BAKER,0,32777.553120000026,FL,2011,12003,161413
161,BAKER,0,32777.553120000026,FL,2011,12003,163711
162,BAKER,0,32777.553120000026,FL,2011,12003,166009
163,BAKER,0,32777.553120000026,FL,2011,12003,27062
164,BAKER,0,32777.553120000026,FL,2011,12003,27043
165,BAKER,0,32777.553120000026,FL,2011,12003,27047
166,BAKER,0,32777.553120000026,FL,2011,12003,27001
167,BAKER,0,32777.553120000026,FL,2011,12003,27118
168,BAKER,0,32777.553120000026,FL,2011,12003,27351
169,BAKER,0,21659.46165000021,FL,2012,12003,152220
