,County,Year,State,QUANTITY,MME,Deaths
96,BEXAR,2009,TX,214712.0,300741.30938015354,197.0
97,BEXAR,2010,TX,249300.0,333322.01373006415,186.0
98,BEXAR,2011,TX,283581.0,354573.6284347085,263.0
99,BEXAR,2012,TX,292496.0,369929.5963522397,193.0
100,BLANCO,2006,TX,684.0,916.8591075000003,
101,BLANCO,2007,TX,497.0,928.7745675000021,
102,BLANCO,2008,TX,406.0,674.3158874999997,
103,BLANCO,2009,TX,432.0,750.3332625000015,
104,BLANCO,2010,TX,585.0,1002.3891600000034,
105,BLANCO,2011,TX,790.0,986.2795950000034,
106,BLANCO,2012,TX,700.0,1051.5183038625037,
107,BOSQUE,2006,TX,1660.0,2938.875442500002,
108,BOSQUE,2007,TX,1339.0,2553.254576000011,
109,BOSQUE,2008,TX,1390.0,2695.811910000007,
110,BOSQUE,2009,TX,1527.0,2252.9856975000075,
111,BOSQUE,2010,TX,1678.0,2235.7549650000046,
112,BOSQUE,2011,TX,1712.0,2402.9580825000066,
113,BOSQUE,2012,TX,1662.0,2365.2375150000053,
114,BOWIE,2006,TX,19918.0,21820.19667750126,
115,BOWIE,2007,TX,24021.0,27022.54911226402,
116,BOWIE,2008,TX,26426.0,30437.98744486395,
117,BOWIE,2009,TX,28028.0,30274.70845500137,
118,BOWIE,2010,TX,30838.0,28644.185613001868,
119,BOWIE,2011,TX,33072.0,31480.81505250155,
120,BOWIE,2012,TX,29056.0,33122.20172272582,
121,BRAZORIA,2006,TX,33548.0,40532.261545342924,27.0
122,BRAZORIA,2007,TX,46870.0,68049.28429849703,22.0
123,BRAZORIA,2008,TX,42930.0,59727.019429095046,24.0
124,BRAZORIA,2009,TX,43919.0,58057.48843538134,37.0
125,BRAZORIA,2010,TX,44333.0,60157.87808153159,24.0
126,BRAZORIA,2011,TX,54276.0,66254.22715223221,36.0
127,BRAZORIA,2012,TX,50768.0,72084.97245473259,36.0
128,BRAZOS,2006,TX,13499.0,15691.183764000296,
129,BRAZOS,2007,TX,14120.0,17945.871739500402,
130,BRAZOS,2008,TX,15517.0,20165.875406000698,1.0
131,BRAZOS,2009,TX,17516.0,21944.596654313227,
132,BRAZOS,2010,TX,18624.0,24597.08860586342,11.0
133,BRAZOS,2011,TX,21619.0,28384.56994158873,19.0
134,BRAZOS,2012,TX,23766.0,30297.515155501085,
135,BREWSTER,2006,TX,1249.0,1730.684997500007,
136,BREWSTER,2007,TX,1538.0,2702.989455000008,
137,BREWSTER,2008,TX,1262.0,2667.2277225000125,
138,BREWSTER,2009,TX,1309.0,2819.2979325000206,
139,BREWSTER,2010,TX,1215.0,2491.354267500015,
140,BREWSTER,2011,TX,1501.0,2532.0564600000166,
141,BREWSTER,2012,TX,1614.0,2427.1507163625133,
142,BROOKS,2006,TX,696.0,550.1040299999987,
143,BROOKS,2007,TX,773.0,629.3957250000003,
144,BROOKS,2008,TX,817.0,714.6048000000023,
145,BROOKS,2009,TX,945.0,815.3812500000035,
146,BROOKS,2010,TX,1135.0,1036.2783750000058,
147,BROOKS,2011,TX,1391.0,1335.6353400000055,
148,BROOKS,2012,TX,1522.0,1739.976285000011,
149,BROWN,2006,TX,10709.0,14676.872495000165,
150,BROWN,2007,TX,11200.0,15178.649717725259,
