,County,Deaths,MME,QUANTITY,State,Year,County Code,Population,MME_Per_Capita,Deaths_Per_100000
52,CHARLOTTE,,191565.34862749267,69064.0,FL,2009,12015.0,153275.0,1.2498147031641995,
53,CHARLOTTE,,230654.24658953075,81085.0,FL,2010,12015.0,159867.0,1.4427883590079926,
54,CHARLOTTE,1.0,207165.206288144,77723.0,FL,2011,12015.0,159851.0,1.295989429457082,0.625582573771825
55,CHARLOTTE,,120917.42719837994,54899.0,FL,2012,12015.0,162749.0,0.7429687875094774,
56,CITRUS,23.0,49646.89102934089,34227.0,FL,2006,12017.0,134512.0,0.3690889365212092,17.098846199595574
57,CITRUS,17.0,58420.509573116375,38276.0,FL,2007,12017.0,135397.0,0.43147565731232135,12.555669623403768
58,CITRUS,25.0,71761.41768466689,41632.0,FL,2008,12017.0,136283.0,0.5265617698808134,18.344180858947922
59,CITRUS,19.0,81649.55125245466,45156.0,FL,2009,12017.0,137168.0,0.5952521816491796,13.851627201679694
60,CITRUS,27.0,111738.27332779263,54855.0,FL,2010,12017.0,141171.0,0.7915101070885141,19.125741122468497
61,CITRUS,29.0,148717.2534045444,70606.0,FL,2011,12017.0,139756.0,1.0641207061202695,20.750450785654998
62,CITRUS,37.0,101576.39330385461,51717.0,FL,2012,12017.0,139175.0,0.7298465478990811,26.585234417100775
63,CLAY,15.0,69327.28997720485,46009.0,FL,2006,12019.0,175496.0,0.39503629699369136,8.547203355062225
64,CLAY,26.0,85815.94069483093,52861.0,FL,2007,12019.0,178693.0,0.48024231892033226,14.550094295803419
65,CLAY,19.0,98532.92591602,59150.0,FL,2008,12019.0,181890.0,0.5417171142779702,10.445873879817471
66,CLAY,29.0,125011.3671661208,67219.0,FL,2009,12019.0,185087.0,0.675419490110709,15.66830733654984
67,CLAY,2.0,144996.73572807058,73312.0,FL,2010,12019.0,191434.0,0.7574241552079075,1.0447464922636522
68,CLAY,23.0,149491.52033715992,75101.0,FL,2011,12019.0,192278.0,0.777475948039609,11.961846909162775
69,CLAY,28.0,134424.40624451954,73326.0,FL,2012,12019.0,193836.0,0.6934955645211393,14.445201097835282
70,COLLIER,43.0,107528.68073415474,53223.0,FL,2006,12021.0,290234.0,0.3704896074689896,14.815631524907488
71,COLLIER,38.0,129910.31275693115,59638.0,FL,2007,12021.0,297582.0,0.4365529929798548,12.769589558508242
72,COLLIER,18.0,147472.3473860064,65763.0,FL,2008,12021.0,304931.0,0.4836253033834094,5.9029747713417136
73,COLLIER,54.0,202995.69626767907,81749.0,FL,2009,12021.0,312279.0,0.650045940545727,17.29222906439434
74,COLLIER,36.0,237663.7797535899,92949.0,FL,2010,12021.0,322595.0,0.7367249329766112,11.159503402098606
75,COLLIER,41.0,198903.37525609316,90667.0,FL,2011,12021.0,327632.0,0.6070938591349232,12.514040142599015
76,COLLIER,31.0,141917.0842426926,68131.0,FL,2012,12021.0,332277.0,0.42710474767345497,9.32956539272956
77,COLUMBIA,,27550.681708588032,15559.0,FL,2006,12023.0,65368.0,0.42147047039205776,
78,COLUMBIA,,30011.436168013053,17028.0,FL,2007,12023.0,65748.0,0.4564615831358072,
79,COLUMBIA,1.0,37731.01713781312,20635.0,FL,2008,12023.0,66128.0,0.5705755071650908,1.5122187273167191
80,COLUMBIA,,40150.09677022534,22076.0,FL,2009,12023.0,66508.0,0.6036882295396846,
81,COLUMBIA,17.0,54609.82727294973,27460.0,FL,2010,12023.0,67553.0,0.8083997346224406,25.16542566577354
82,COLUMBIA,,50996.45302499963,25775.0,FL,2011,12023.0,67309.0,0.7576468678037057,
83,COLUMBIA,16.0,49737.84482999941,24254.0,FL,2012,12023.0,67879.0,0.7327427456208756,23.571354910944475
84,DE SOTO,,7179.5800115000675,4940.0,FL,2006,,,,
85,DE SOTO,,7726.090771792575,5333.0,FL,2007,,,,
86,DE SOTO,,7953.604365000078,5340.0,FL,2008,,,,
87,DE SOTO,,9826.920240000089,5307.0,FL,2009,,,,
88,DE SOTO,,13087.621237500125,6685.0,FL,2010,,,,
89,DE SOTO,,18280.029405000176,8166.0,FL,2011,,,,
90,DE SOTO,,16695.973792500132,7784.0,FL,2012,,,,
91,DIXIE,,2952.7461250000056,1464.0,FL,2006,12029.0,15989.0,0.18467359590968827,
