,County,Year,State,QUANTITY,MME,Deaths
96,BRYAN,2010,GA,8479.0,16444.008587472174,
97,BRYAN,2011,GA,9724.0,16565.860604662677,
98,BRYAN,2012,GA,10692.0,18906.19195203771,
99,BULLOCH,2006,GA,6393.0,9142.968817500321,
100,BULLOCH,2007,GA,8077.0,11395.139447587986,
101,BULLOCH,2008,GA,9391.0,13594.546502038034,
102,BULLOCH,2009,GA,10391.0,14044.985134762966,
103,BULLOCH,2010,GA,13246.0,19510.56855521326,
104,BULLOCH,2011,GA,13741.0,19002.41265112572,
105,BULLOCH,2012,GA,13262.0,19664.277140212947,
106,BURKE,2006,GA,3775.0,2119.854585,
107,BURKE,2007,GA,2400.0,2717.980830000002,
108,BURKE,2008,GA,2772.0,3068.966497499993,
109,BURKE,2009,GA,3296.0,3431.009343862496,
110,BURKE,2010,GA,3835.0,4571.417625000001,
111,BURKE,2011,GA,4355.0,5194.469302500049,
112,BURKE,2012,GA,4438.0,5442.739005000047,
113,BUTTS,2006,GA,3804.0,10585.245868500026,
114,BUTTS,2007,GA,4197.0,10718.171231862534,
115,BUTTS,2008,GA,4748.0,11565.703656000049,
116,BUTTS,2009,GA,3878.0,6914.633178862515,
117,BUTTS,2010,GA,5153.0,10456.509360225067,
118,BUTTS,2011,GA,6262.0,13580.896286362557,
119,BUTTS,2012,GA,7178.0,16646.49428636256,
120,CALHOUN,2006,GA,258.0,335.7911159999996,
121,CALHOUN,2007,GA,268.0,316.42664636249924,
122,CALHOUN,2008,GA,280.0,365.5374583499991,
123,CALHOUN,2009,GA,345.0,432.0976379249989,
124,CALHOUN,2010,GA,498.0,581.7323129249983,
125,CALHOUN,2011,GA,613.0,772.525273387501,
126,CALHOUN,2012,GA,650.0,821.6586497250004,
127,CAMDEN,2006,GA,11584.0,23295.820186313096,
128,CAMDEN,2007,GA,12793.0,27123.027022725535,
129,CAMDEN,2008,GA,11846.0,21628.25648795028,
130,CAMDEN,2009,GA,10960.0,17097.063846450306,
131,CAMDEN,2010,GA,13667.0,22683.134920050306,
132,CAMDEN,2011,GA,14352.0,22363.2426431627,10.0
133,CAMDEN,2012,GA,14770.0,23490.73621500028,
134,CANDLER,2006,GA,1709.0,2381.0317080000023,
135,CANDLER,2007,GA,1957.0,2504.3532885000013,
136,CANDLER,2008,GA,2237.0,2798.772450000008,
137,CANDLER,2009,GA,2557.0,3462.3951375000074,
138,CANDLER,2010,GA,3063.0,4366.946827500025,
139,CANDLER,2011,GA,3168.0,4342.661880000024,
140,CANDLER,2012,GA,3578.0,5326.837830000026,
141,CARROLL,2006,GA,33635.0,52836.822322765045,14.0
142,CARROLL,2007,GA,37907.0,57215.12140897812,22.0
143,CARROLL,2008,GA,40151.0,59909.25010735239,24.0
144,CARROLL,2009,GA,45495.0,68784.2005690903,26.0
145,CARROLL,2010,GA,47564.0,72584.76198795218,17.0
146,CARROLL,2011,GA,51595.0,76282.27665045248,22.0
147,CARROLL,2012,GA,52588.0,76353.8759736027,13.0
148,CATOOSA,2006,GA,12376.0,18045.529858862923,10.0
149,CATOOSA,2007,GA,15803.0,22704.15437086301,
150,CATOOSA,2008,GA,18718.0,26866.476354813123,11.0
151,CATOOSA,2009,GA,21032.0,31446.791467500556,
152,CATOOSA,2010,GA,24456.0,41293.30390500078,
153,CATOOSA,2011,GA,25520.0,40756.06931250066,10.0
154,CATOOSA,2012,GA,27859.0,47386.00666886301,20.0
155,CHARLTON,2006,GA,1891.0,1999.9552528500035,
156,CHARLTON,2007,GA,1763.0,1929.4338459750038,
157,CHARLTON,2008,GA,1933.0,1923.450907237505,
158,CHARLTON,2009,GA,2353.0,2423.367526125008,
159,CHARLTON,2010,GA,3378.0,5409.898725000021,
160,CHARLTON,2011,GA,3698.0,5204.097208162518,
161,CHARLTON,2012,GA,3783.0,4904.913983625027,
162,CHATHAM,2006,GA,42519.0,51483.071977417494,18.0
163,CHATHAM,2007,GA,44810.0,56542.0829022062,26.0
164,CHATHAM,2008,GA,51435.0,62655.34160170749,17.0
165,CHATHAM,2009,GA,60593.0,69361.08520440685,16.0
166,CHATHAM,2010,GA,69883.0,82625.22404693239,23.0
167,CHATHAM,2011,GA,81803.0,97307.15380838318,22.0
168,CHATHAM,2012,GA,80219.0,101158.89221929513,23.0
169,CHATTOOGA,2006,GA,6843.0,7965.2576811750905,
170,CHATTOOGA,2007,GA,8691.0,9709.294792725117,
171,CHATTOOGA,2008,GA,9499.0,10390.218547587636,
172,CHATTOOGA,2009,GA,10645.0,11867.564648175148,
173,CHATTOOGA,2010,GA,11788.0,12922.901872500188,
174,CHATTOOGA,2011,GA,12060.0,14430.830403862721,
175,CHATTOOGA,2012,GA,12953.0,15202.95944250016,
176,CHEROKEE,2006,GA,30737.0,39825.91397831749,12.0
177,CHEROKEE,2007,GA,40596.0,49550.765672791094,22.0
178,CHEROKEE,2008,GA,40110.0,57124.91603970347,16.0
179,CHEROKEE,2009,GA,43328.0,65421.97528766573,20.0
180,CHEROKEE,2010,GA,49072.0,80622.0173423661,26.0
181,CHEROKEE,2011,GA,59282.0,95668.65788426696,19.0
182,CHEROKEE,2012,GA,49251.0,76777.39892719086,20.0
183,CLARKE,2006,GA,27016.0,39075.025614976745,
184,CLARKE,2007,GA,31590.0,49638.03649982712,
185,CLARKE,2008,GA,31106.0,56575.81451618917,
186,CLARKE,2009,GA,33055.0,60856.67072223897,
187,CLARKE,2010,GA,34872.0,66387.48365321402,
188,CLARKE,2011,GA,40585.0,80334.71237838936,13.0
189,CLARKE,2012,GA,42331.0,82501.60596225194,12.0
190,CLAY,2006,GA,251.0,734.4744375000004,18.0
191,CLAY,2007,GA,245.0,682.1294174999995,19.0
192,CLAY,2008,GA,332.0,753.0275775000007,13.0
193,CLAY,2009,GA,371.0,770.464950000001,19.0
194,CLAY,2010,GA,546.0,1106.912100000002,19.0
195,CLAY,2011,GA,376.0,796.304287500001,20.0
196,CLAY,2012,GA,348.0,560.308574999999,30.0
197,CLAYTON,2006,GA,26015.0,32395.982910177285,
198,CLAYTON,2007,GA,29357.0,37904.79641716491,
199,CLAYTON,2008,GA,33258.0,47524.09622956577,
200,CLAYTON,2009,GA,36044.0,52830.613863528044,
201,CLAYTON,2010,GA,39833.0,68738.2213797404,
202,CLAYTON,2011,GA,42892.0,72903.96607905248,
203,CLAYTON,2012,GA,38739.0,56627.53866656484,
204,CLINCH,2006,GA,2061.0,2043.4760010000005,
205,CLINCH,2007,GA,2638.0,2768.7196459999964,
206,CLINCH,2008,GA,2838.0,3073.6119338625012,
207,CLINCH,2009,GA,2739.0,3223.577324999999,
208,CLINCH,2010,GA,3008.0,4095.2140275000042,
209,CLINCH,2011,GA,3534.0,4602.099210000008,
210,CLINCH,2012,GA,3566.0,4592.822006362528,
211,COBB,2006,GA,108709.0,142265.12136495294,49.0
212,COBB,2007,GA,116699.0,159854.9054414673,45.0
213,COBB,2008,GA,117090.0,178359.76641771724,60.0
214,COBB,2009,GA,128140.0,205475.85163243284,71.0
215,COBB,2010,GA,142065.0,238516.3356989779,50.0
216,COBB,2011,GA,193491.0,272506.4223407068,65.0
217,COBB,2012,GA,162056.0,238414.92378402804,77.0
218,COFFEE,2006,GA,11384.0,18291.431137450487,
219,COFFEE,2007,GA,12814.0,17141.38422222541,
220,COFFEE,2008,GA,14819.0,19587.647500000563,
221,COFFEE,2009,GA,15983.0,22430.233192500677,
222,COFFEE,2010,GA,24103.0,47033.43613886341,
223,COFFEE,2011,GA,23972.0,52412.25936044985,
224,COFFEE,2012,GA,18793.0,34072.83708386282,
225,COLQUITT,2006,GA,4340.0,4909.541860537508,
226,COLQUITT,2007,GA,5817.0,6668.091213075096,
227,COLQUITT,2008,GA,6479.0,8022.176891625174,
228,COLQUITT,2009,GA,6608.0,8194.647671587645,
229,COLQUITT,2010,GA,8003.0,10448.77141522516,
230,COLQUITT,2011,GA,9375.0,10441.363320000315,
231,COLQUITT,2012,GA,10174.0,11538.465547725365,
232,COLUMBIA,2006,GA,20020.0,23295.355943226237,
233,COLUMBIA,2007,GA,21823.0,27718.176415001508,
234,COLUMBIA,2008,GA,22652.0,30271.48833867659,
235,COLUMBIA,2009,GA,25830.0,35478.48179726406,
236,COLUMBIA,2010,GA,28232.0,39528.706639089105,15.0
237,COLUMBIA,2011,GA,35705.0,49442.60688622693,
238,COLUMBIA,2012,GA,35252.0,49549.19645268958,12.0
239,COOK,2006,GA,1942.0,2461.3225015000107,
240,COOK,2007,GA,2325.0,2650.2052025000094,
241,COOK,2008,GA,2571.0,3705.47778750001,
242,COOK,2009,GA,2573.0,3966.721350000011,
243,COOK,2010,GA,3424.0,5658.713347500045,
244,COOK,2011,GA,3966.0,6299.567865000059,
245,COOK,2012,GA,4053.0,5873.076720000079,
246,COWETA,2006,GA,16628.0,21746.70000150095,
247,COWETA,2007,GA,18560.0,25365.947048213577,11.0
248,COWETA,2008,GA,21710.0,29889.180738039155,10.0
249,COWETA,2009,GA,25395.0,35730.16901726401,16.0
250,COWETA,2010,GA,29941.0,40254.84671295154,
251,COWETA,2011,GA,43920.0,60963.186949539944,12.0
252,COWETA,2012,GA,42059.0,45984.58127748976,17.0
253,CRAWFORD,2006,GA,406.0,846.4846875000009,
254,CRAWFORD,2007,GA,527.0,1065.1390800000008,
255,CRAWFORD,2008,GA,567.0,1191.9975,
256,CRAWFORD,2009,GA,620.0,1173.422977499999,
257,CRAWFORD,2010,GA,1110.0,1934.717362499999,
258,CRAWFORD,2011,GA,1045.0,1994.031525000001,
259,CRAWFORD,2012,GA,1196.0,2306.1873375000023,
260,CRISP,2006,GA,3994.0,4993.022424000011,
261,CRISP,2007,GA,4048.0,5549.329415862529,
262,CRISP,2008,GA,4676.0,5917.923433725057,
263,CRISP,2009,GA,5161.0,6552.435476587557,
264,CRISP,2010,GA,5637.0,7973.974327500104,
265,CRISP,2011,GA,6332.0,8737.890101362638,
266,CRISP,2012,GA,6845.0,9762.02629158762,
267,DADE,2006,GA,2910.0,4147.432028500005,
268,DADE,2007,GA,3810.0,5373.264505500034,
269,DADE,2008,GA,4293.0,6268.744413000058,
270,DADE,2009,GA,4598.0,7035.614857500088,
271,DADE,2010,GA,5168.0,8279.691082500141,
272,DADE,2011,GA,5401.0,7805.248803862656,
273,DADE,2012,GA,5125.0,7835.832375000109,
274,DAWSON,2006,GA,5537.0,9113.889742000112,
275,DAWSON,2007,GA,6797.0,9980.61126872512,
276,DAWSON,2008,GA,7468.0,11166.249527200123,
277,DAWSON,2009,GA,8166.0,12036.02337566261,
278,DAWSON,2010,GA,8630.0,12458.427952950184,
279,DAWSON,2011,GA,9158.0,12535.306541362632,
280,DAWSON,2012,GA,9086.0,12577.916073862645,
281,DECATUR,2006,GA,4072.0,5450.182190000013,
282,DECATUR,2007,GA,4849.0,6498.085115862552,
283,DECATUR,2008,GA,5713.0,7571.150938000053,
284,DECATUR,2009,GA,7234.0,8857.225613062594,
285,DECATUR,2010,GA,6824.0,8152.208544075114,
286,DECATUR,2011,GA,7907.0,9223.083470437643,
287,DECATUR,2012,GA,8727.0,10005.864181350194,
288,DEKALB,2006,GA,50437.0,64811.00748271758,29.0
289,DEKALB,2007,GA,61672.0,74390.33026976958,39.0
290,DEKALB,2008,GA,61900.0,85291.17013793482,33.0
291,DEKALB,2009,GA,66228.0,95525.64122116058,28.0
292,DEKALB,2010,GA,72646.0,114484.1949200722,40.0
293,DEKALB,2011,GA,84177.0,132659.16322036108,44.0
294,DEKALB,2012,GA,84460.0,129316.71358917406,40.0
295,DODGE,2006,GA,4731.0,7700.9209577250995,
296,DODGE,2007,GA,5230.0,9479.082675087642,
297,DODGE,2008,GA,5789.0,10191.843832500139,
298,DODGE,2009,GA,5891.0,10153.350862500169,
299,DODGE,2010,GA,6292.0,10397.302245000195,
300,DODGE,2011,GA,7463.0,12740.18339636276,
301,DODGE,2012,GA,7429.0,13449.868507500265,
302,DOOLY,2006,GA,418.0,693.1512270000001,
303,DOOLY,2007,GA,309.0,574.8396194999992,
304,DOOLY,2008,GA,392.0,625.0068674999992,
305,DOOLY,2009,GA,354.0,518.131627499999,
306,DOOLY,2010,GA,551.0,929.4952499999982,
307,DOOLY,2011,GA,488.0,831.6315375000007,
308,DOOLY,2012,GA,489.0,857.1861900000004,
309,DOUGHERTY,2006,GA,12331.0,15793.53014272573,
310,DOUGHERTY,2007,GA,14098.0,16069.919257850817,
311,DOUGHERTY,2008,GA,15179.0,18057.377613226086,
312,DOUGHERTY,2009,GA,18189.0,21433.515003826153,
313,DOUGHERTY,2010,GA,20201.0,25066.426170226394,
314,DOUGHERTY,2011,GA,23258.0,29021.617369314215,
315,DOUGHERTY,2012,GA,24751.0,31634.676638401528,10.0
316,DOUGLAS,2006,GA,26492.0,35668.308372452666,14.0
317,DOUGLAS,2007,GA,28707.0,42462.256013165315,
318,DOUGLAS,2008,GA,32972.0,51642.592885578255,10.0
319,DOUGLAS,2009,GA,36942.0,65538.3401595405,
320,DOUGLAS,2010,GA,40571.0,80407.64114771468,10.0
321,DOUGLAS,2011,GA,50480.0,98187.61233817798,14.0
322,DOUGLAS,2012,GA,41517.0,69229.24595996557,10.0
323,EARLY,2006,GA,832.0,977.2840125000008,
324,EARLY,2007,GA,1248.0,1406.1398797250033,
325,EARLY,2008,GA,1364.0,1673.130492037501,
326,EARLY,2009,GA,1249.0,1689.551824087504,
327,EARLY,2010,GA,1342.0,1640.9943638625057,
328,EARLY,2011,GA,1579.0,1748.2559252250062,
329,EARLY,2012,GA,1759.0,1941.342937500009,
330,EFFINGHAM,2006,GA,6646.0,6862.471809225094,
331,EFFINGHAM,2007,GA,7435.0,8631.064976862695,
